ID_USER,genero,monto,numero_tc,hora,establecimiento,ciudad,tipo_tc,linea_tc,interes_tc,status_txn,is_prime,dcto,cashback,fraude,model,device_score,os,potential_fraudster
0,F,348.5324382142642,2,13.5,Super,Merida,Física,71000,51,Aceptada,False,30.417281676714893,3.624747779846646,False,2020,3,ANDROID,High
1,F,488.1137236723101,7,10.0,Otro,Guadalajara,Física,94000,56,Aceptada,False,17.804483149053265,7.0040290860114895,False,2020,3,%%,High
2,F,398.5562023160532,7,10.0,Otro,Toluca,Física,55000,57,Aceptada,False,39.279511465630875,4.092138640675737,False,2020,1,WEB,High
3,F,238.98607403925797,2,15.5,Super,Toluca,Física,62000,34,Aceptada,False,0.0,2.38986074039258,False,2020,2,ANDROID,High
4,--,277.1765240734928,1,6.0,Restaurante,Merida,Física,83000,37,Aceptada,False,55.43530481469857,2.217412192587943,False,2020,2,WEB,Low
5,M,318.5659316422405,3,11.0,Farmacia,Monterrey,Física,33000,54,Aceptada,False,45.39313788479337,2.731727937574471,True,2020,2,WEB,High
6,F,650.5538035551133,1,16.0,Super,Guadalajara,Física,39000,55,Aceptada,False,0.0,6.505538035551133,False,2020,3,.,Low
7,--,481.48690445395613,5,13.0,Otro,Guadalajara,Física,72000,57,Aceptada,False,18.102301444151273,7.1516518442347135,True,2020,1,%%,High
8,M,425.0972392927282,7,13.0,Restaurante,Otro,Física,76000,58,Aceptada,False,15.069826887317053,4.864977226210454,False,2020,1,ANDROID,High
9,F,434.1642019570456,10,11.5,Otro,Otro,Física,62000,45,Aceptada,False,15.88801046807354,5.178292299004362,True,2020,1,.,Very High
10,M,819.0199511520632,3,17.0,Super,Monterrey,Virtual,44000,42,Aceptada,False,63.249671270271385,12.703441055680111,False,2020,5,%%,Low
11,F,513.6973954819769,1,2.0,Super,Otro,Física,81000,57,Aceptada,False,0.0,5.136973954819768,False,2020,2,%%,Low
12,M,224.25449380227553,3,12.0,Farmacia,Monterrey,Física,64000,45,Aceptada,False,16.77930818054255,2.07475185621733,False,2020,3,.,High
13,--,433.0287415428628,5,13.0,Otro,Merida,Física,34000,48,Aceptada,True,28.99939243587189,6.840494058509945,False,2020,2,ANDROID,High
14,M,443.30832692529344,13,9.0,Otro,Toluca,Física,67000,35,Aceptada,False,21.917593543845747,5.426609947220418,True,2020,5,%%,Very High
15,M,515.3135256433358,8,13.0,Super,Toluca,Física,87000,43,Aceptada,False,13.002687985515335,6.719813586671528,False,2020,1,.,High
16,M,561.580480557869,4,14.0,Otro,Otro,Física,67000,46,En proceso,False,29.795392778514536,6.397020379832677,False,2020,3,.,High
17,M,857.1079771746674,1,19.0,Otro,Guadalajara,Física,76000,49,Aceptada,False,85.71079771746675,7.713971794572007,False,2020,4,WEB,Low
18,M,749.2223800245192,1,21.0,Restaurante,Merida,Física,65000,57,Aceptada,False,0.0,7.492223800245192,False,2020,3,ANDROID,Low
19,F,582.2025620714167,17,8.0,Abarrotes,Otro,Física,28000,42,Aceptada,False,18.246497370357048,7.075789858157702,True,2020,1,.,Very High
20,F,488.82658884725265,4,8.0,Restaurante,Otro,Física,27000,46,Aceptada,True,0.0,5.612582464825819,False,2020,2,ANDROID,High
21,M,534.7180298573645,6,17.0,Farmacia,Monterrey,Física,99000,45,Aceptada,False,15.014938362442637,8.19739837250402,False,2020,1,%%,High
22,M,635.6208505824359,6,17.0,Otro,Merida,Física,73000,40,Aceptada,False,35.141072045103044,9.846869494780842,False,2020,1,.,High
23,M,573.0019809478414,3,9.0,Otro,Monterrey,Física,63000,49,Rechazada,False,43.8746335078876,5.291273474399538,False,2020,4,%%,High
24,M,216.48730222842778,2,16.0,Restaurante,Otro,Virtual,81000,54,En proceso,False,0.0,4.329746044568557,False,2020,2,ANDROID,Low
25,M,769.2205870525801,2,13.5,Abarrotes,Otro,Virtual,27000,62,Aceptada,False,39.284690831437196,14.598717924422859,False,2020,5,WEB,Low
26,M,799.4208589570458,2,16.5,Otro,Monterrey,Virtual,50000,32,Aceptada,False,31.972872418224668,15.348959730776425,False,2020,3,%%,Low
27,F,543.5964750905844,18,11.0,Otro,Otro,Física,73000,58,Aceptada,False,19.261260696387392,6.357689236910073,True,2020,1,%%,Very High
28,F,376.0766398526149,20,9.0,Otro,Otro,Física,46000,38,Aceptada,True,15.354618910520912,5.4705943360651315,False,2020,5,ANDROID,Very High
29,F,430.7372530418497,6,17.5,Otro,Guadalajara,Física,62000,34,Aceptada,False,0.0,6.666486000719389,True,2020,4,WEB,High
30,F,544.4454626843046,4,12.0,Restaurante,Otro,Física,85000,64,Aceptada,False,37.39746036465166,9.170816882593844,False,2020,5,%%,High
31,M,486.838447733813,1,2.0,Otro,Toluca,Física,52000,38,Aceptada,False,0.0,4.868384477338131,False,2020,2,%%,Low
32,F,82.668589276093,1,10.0,Otro,Merida,Física,38000,44,En proceso,False,16.5337178552186,0.6613487142087441,False,2020,5,WEB,Low
33,--,365.82454756482207,4,10.0,MPago,Guadalajara,Física,81000,50,Rechazada,False,7.16117930339758,3.5866336826142446,False,2020,5,%%,High
34,F,467.92203076228736,21,13.0,MPago,Toluca,Física,27000,50,Aceptada,False,12.716031711250439,5.846535618280991,False,2020,1,ANDROID,Very High
35,F,545.9360251463294,4,13.0,Restaurante,Otro,Física,84000,51,Aceptada,False,54.59360251463294,5.496397740610759,False,2020,2,%%,High
36,M,469.8295555686445,19,12.0,Otro,Otro,Física,94000,42,Aceptada,False,17.997447724630355,4.793250437537161,False,2020,2,ANDROID,Very High
37,M,913.1224724129688,1,6.0,Abarrotes,Monterrey,Física,37000,46,Aceptada,True,0.0,9.131224724129687,False,2020,4,.,Low
38,F,483.51205266358295,9,9.0,Restaurante,Toluca,Física,39000,34,Aceptada,False,13.578664099640049,6.274056665516856,False,2020,5,.,Very High
39,F,429.27325427051227,4,21.0,Abarrotes,Otro,Física,30000,58,Aceptada,False,28.55252736190203,4.863458878166594,False,2020,3,.,High
40,F,572.6150183551372,10,8.0,Otro,Otro,Física,37000,54,Aceptada,False,13.625388285920106,6.0604268882449945,False,2020,3,ANDROID,Very High
41,M,504.7689881288844,16,8.0,Otro,Otro,Física,61000,55,Aceptada,False,16.788606175747532,6.697393974556035,False,2020,2,%%,Very High
42,M,336.89963590515856,5,8.0,Otro,Toluca,Física,89000,52,Aceptada,False,0.0,5.216329389549261,False,2020,1,.,High
43,M,659.6913381089639,5,7.0,Restaurante,Merida,Física,55000,34,Aceptada,False,33.94376345790388,8.149287932867683,False,2020,5,ANDROID,High
44,F,558.1050315996863,16,11.5,Otro,Guadalajara,Física,50000,51,Aceptada,False,21.623234109042876,6.649134780162845,False,2020,3,.,Very High
45,M,575.3892365017443,6,14.5,Restaurante,Guadalajara,Física,86000,42,Aceptada,False,0.0,6.674878789161969,False,2020,3,%%,High
46,F,464.70296881141076,12,13.0,Otro,Otro,Física,35000,64,Aceptada,True,28.59335522744722,4.361096135839635,False,2020,1,WEB,Very High
47,M,488.90971678121167,6,10.0,Otro,Merida,Física,66000,44,Aceptada,False,4.167981322563407,5.14164604840591,False,2020,5,.,High
48,--,430.6890921999078,5,16.0,Abarrotes,Guadalajara,Física,25000,58,Aceptada,False,11.250268883875306,5.346517140725998,False,2020,2,%%,High
49,F,501.8967768894431,5,10.0,Abarrotes,Monterrey,Física,58000,52,Aceptada,False,30.312283552251493,6.416605949037281,False,2020,1,%%,High
50,F,428.13201368668155,6,4.5,Farmacia,Otro,Física,41000,47,Aceptada,True,0.0,4.281320136866815,True,2020,1,WEB,High
51,M,637.7028059634583,3,21.0,Super,Toluca,Física,59000,53,Aceptada,False,29.888492032412085,6.078143139310463,False,2020,3,.,High
52,M,608.8749713216772,4,8.0,Super,Merida,Física,27000,42,Aceptada,False,27.660558807765632,5.812144125139117,False,2020,4,.,High
53,M,555.6206729983812,9,7.0,Restaurante,Monterrey,Física,34000,58,Aceptada,False,21.156349036921068,6.6730839174601995,False,2020,5,.,Very High
54,M,420.5425122825943,11,14.0,Otro,Guadalajara,Física,35000,40,Aceptada,False,21.808031144163703,5.006040927356898,False,2020,3,WEB,Very High
55,M,797.240447025816,3,15.0,Otro,Otro,Virtual,60000,56,Aceptada,False,17.376039850191816,14.033444556995223,True,2020,3,ANDROID,Low
56,F,366.7292468913878,2,14.5,Otro,Otro,Física,30000,57,En proceso,False,0.0,3.667292468913878,False,2020,5,WEB,High
57,M,487.42609383861264,14,11.5,Otro,Otro,Física,57000,64,Aceptada,False,13.424321020780143,5.690925928446259,False,2020,3,WEB,Very High
58,M,403.8056296957977,3,13.0,Otro,Merida,Física,63000,45,Aceptada,False,19.506694317211604,5.767959653324184,False,2020,3,%%,High
59,--,482.45773769193335,3,23.0,Abarrotes,Guadalajara,Física,97000,49,Aceptada,False,14.398571487400941,6.417179326939767,False,2020,4,%%,High
60,M,20.42395738928754,2,9.5,MPago,Otro,Física,80000,48,Aceptada,False,0.0,0.20423957389287536,False,2020,4,WEB,High
61,F,535.421507446984,6,9.0,Otro,Guadalajara,Virtual,99000,49,Aceptada,False,23.914277501196576,7.660136970261817,False,2020,3,ANDROID,Low
62,F,418.471107434517,9,5.0,Otro,Monterrey,Física,84000,50,Aceptada,False,6.26461678389165,5.1188688653263466,False,2020,3,ANDROID,Very High
